Názov obce;Názov okresu;Názov kraja
Bratislava - mestská časť Vrakuňa;Okres Bratislava II;Bratislavský
Bratislava - mestská časť Záhorská Bystrica;Okres Bratislava IV;Bratislavský
Braväcovo;Okres Brezno;Banskobystrický
Brdárka;Okres Rožňava;Košický
Brehov;Okres Trebišov;Košický
Brehy;Okres Žarnovica;Banskobystrický
Brekov;Okres Humenné;Prešovský
Brestov nad Laborcom;Okres Medzilaborce;Prešovský
Brestov, okres Humenné;Okres Humenné;Prešovský
Brestov, okres Prešov;Okres Prešov;Prešovský
Brestovany;Okres Trnava;Trnavský
Brestovec, okres Komárno;Okres Komárno;Nitriansky
Brestovec, okres Myjava;Okres Myjava;Trenčiansky
Bretejovce;Okres Prešov;Prešovský
Bretka;Okres Rožňava;Košický
Breza;Okres Námestovo;Žilinský
Brezany;Okres Žilina;Žilinský
Brezina;Okres Trebišov;Košický
Breziny;Okres Zvolen;Banskobystrický
Breznica;Okres Stropkov;Prešovský
Breznička, okres Poltár;Okres Poltár;Banskobystrický
Breznička, okres Stropkov;Okres Stropkov;Prešovský
Brezno;Okres Brezno;Banskobystrický
Brezolupy;Okres Bánovce nad Bebravou;Trenčiansky
Brezov;Okres Bardejov;Prešovský
Brezová pod Bradlom;Okres Myjava;Trenčiansky
Brezovec;Okres Snina;Prešovský
Brezovica, okres Sabinov;Okres Sabinov;Prešovský
Brezovica, okres Tvrdošín;Okres Tvrdošín;Žilinský
Brezovička;Okres Sabinov;Prešovský
Brezovka;Okres Bardejov;Prešovský
Brežany;Okres Prešov;Prešovský
Brhlovce;Okres Levice;Nitriansky
Brieštie;Okres Turčianske Teplice;Žilinský
Brodské;Okres Skalica;Trnavský
Brodzany;Okres Partizánske;Trenčiansky
Brunovce;Okres Nové Mesto nad Váhom;Trenčiansky
Brusnica;Okres Stropkov;Prešovský
Brusník;Okres Veľký Krtíš;Banskobystrický
Brusno;Okres Banská Bystrica;Banskobystrický
Brutovce;Okres Levoča;Prešovský
Bruty;Okres Nové Zámky;Nitriansky
Brvnište;Okres Považská Bystrica;Trenčiansky
Brzotín;Okres Rožňava;Košický
Buclovany;Okres Bardejov;Prešovský
Búč;Okres Komárno;Nitriansky
Bučany;Okres Trnava;Trnavský
Budča;Okres Zvolen;Banskobystrický
Budikovany;Okres Rimavská Sobota;Banskobystrický
Budimír;Okres Košice - okolie;Košický
Budiná;Okres Lučenec;Banskobystrický
Budince;Okres Michalovce;Košický
Budiš;Okres Turčianske Teplice;Žilinský
Budkovce;Okres Michalovce;Košický
Budmerice;Okres Pezinok;Bratislavský
Buglovce;Okres Levoča;Prešovský
Buková;Okres Trnava;Trnavský
Bukovce;Okres Stropkov;Prešovský
Bukovec, okres Košice - okolie;Okres Košice - okolie;Košický
Bukovec, okres Myjava;Okres Myjava;Trenčiansky
Bukovina;Okres Liptovský Mikuláš;Žilinský
Bulhary;Okres Lučenec;Banskobystrický
Bunetice;Okres Košice - okolie;Košický
Bunkovce;Okres Sobrance;Košický
Bušince;Okres Veľký Krtíš;Banskobystrický
Bušovce;Okres Kežmarok;Prešovský
Buzica;Okres Košice - okolie;Košický
Buzitka;Okres Lučenec;Banskobystrický
Bystrá, okres Brezno;Okres Brezno;Banskobystrický
Bystrá, okres Stropkov;Okres Stropkov;Prešovský
Bystrany;Okres Spišská Nová Ves;Košický
Bystré;Okres Vranov nad Topľou;Prešovský
Bystričany;Okres Prievidza;Trenčiansky
Bystrička;Okres Martin;Žilinský
Byšta;Okres Trebišov;Košický
Bytča;Okres Bytča;Žilinský
Bzenica;Okres Žiar nad Hronom;Banskobystrický
Bzenov;Okres Prešov;Prešovský
Bzince pod Javorinou;Okres Nové Mesto nad Váhom;Trenčiansky
Bziny;Okres Dolný Kubín;Žilinský
Bzovík;Okres Krupina;Banskobystrický
Bzovská Lehôtka;Okres Zvolen;Banskobystrický
Bžany;Okres Stropkov;Prešovský
Cabaj-Čápor;Okres Nitra;Nitriansky
Cabov;Okres Vranov nad Topľou;Prešovský
Cakov;Okres Rimavská Sobota;Banskobystrický
Cejkov;Okres Trebišov;Košický
Cernina;Okres Svidník;Prešovský
Cerová;Okres Senica;Trnavský
Cerovo;Okres Krupina;Banskobystrický
Cestice;Okres Košice - okolie;Košický
Cífer;Okres Trnava;Trnavský
Cigeľ;Okres Prievidza;Trenčiansky
Cigeľka;Okres Bardejov;Prešovský
Cigla;Okres Svidník;Prešovský
Cimenná;Okres Bánovce nad Bebravou;Trenčiansky
Cinobaňa;Okres Poltár;Banskobystrický
Čab;Okres Nitra;Nitriansky
Čabalovce;Okres Medzilaborce;Prešovský
Čabiny;Okres Medzilaborce;Prešovský
Čabradský Vrbovok;Okres Krupina;Banskobystrický
Čadca;Okres Čadca;Žilinský
Čachtice;Okres Nové Mesto nad Váhom;Trenčiansky
Čajkov;Okres Levice;Nitriansky
Čaka;Okres Levice;Nitriansky
Čakajovce;Okres Nitra;Nitriansky
Čakanovce, okres Košice - okolie;Okres Košice - okolie;Košický
Čakanovce, okres Lučenec;Okres Lučenec;Banskobystrický
Čakany;Okres Dunajská Streda;Trnavský
Čaklov;Okres Vranov nad Topľou;Prešovský
Čalovec;Okres Komárno;Nitriansky
Čamovce;Okres Lučenec;Banskobystrický
Čaňa;Okres Košice - okolie;Košický
Čaradice;Okres Zlaté Moravce;Nitriansky
Čáry;Okres Senica;Trnavský
Častá;Okres Pezinok;Bratislavský
Častkov;Okres Senica;Trnavský
Častkovce;Okres Nové Mesto nad Váhom;Trenčiansky
Čata;Okres Levice;Nitriansky
Čataj;Okres Senec;Bratislavský
Čavoj;Okres Prievidza;Trenčiansky
Čebovce;Okres Veľký Krtíš;Banskobystrický
Čečehov;Okres Michalovce;Košický
Čečejovce;Okres Košice - okolie;Košický
Čechy;Okres Nové Zámky;Nitriansky
Čechynce;Okres Nitra;Nitriansky
Čekovce;Okres Krupina;Banskobystrický
Čeľadice;Okres Nitra;Nitriansky
Čeľadince;Okres Topoľčany;Nitriansky
Čeláre;Okres Veľký Krtíš;Banskobystrický
Čelkova Lehota;Okres Považská Bystrica;Trenčiansky
Čeľovce;Okres Trebišov;Košický
Čelovce, okres Prešov;Okres Prešov;Prešovský
Čelovce, okres Veľký Krtíš;Okres Veľký Krtíš;Banskobystrický
Čenkovce;Okres Dunajská Streda;Trnavský
Čereňany;Okres Prievidza;Trenčiansky
Čerenčany;Okres Rimavská Sobota;Banskobystrický
Čerhov;Okres Trebišov;Košický
Čerín;Okres Banská Bystrica;Banskobystrický
Čermany;Okres Topoľčany;Nitriansky
Černík;Okres Nové Zámky;Nitriansky
Černina;Okres Humenné;Prešovský
Černochov;Okres Trebišov;Košický
Čertižné;Okres Medzilaborce;Prešovský
Červená Voda;Okres Sabinov;Prešovský
Červeňany;Okres Veľký Krtíš;Banskobystrický
Červenica;Okres Prešov;Prešovský
Červenica pri Sabinove;Okres Sabinov;Prešovský
Červeník;Okres Hlohovec;Trnavský
Červený Hrádok;Okres Zlaté Moravce;Nitriansky
Červený Kameň;Okres Ilava;Trenčiansky
Červený Kláštor;Okres Kežmarok;Prešovský
České Brezovo;Okres Poltár;Banskobystrický
Čičarovce;Okres Michalovce;Košický
Čičava;Okres Vranov nad Topľou;Prešovský
Čičmany;Okres Žilina;Žilinský
Číčov;Okres Komárno;Nitriansky
Čierna;Okres Trebišov;Košický
Čierna Lehota, okres Bánovce nad Bebravou;Okres Bánovce nad Bebravou;Trenčiansky
Čierna Lehota, okres Rožňava;Okres Rožňava;Košický
Čierna nad Tisou;Okres Trebišov;Košický
Čierna Voda;Okres Galanta;Trnavský
Čierne;Okres Čadca;Žilinský
Čierne Kľačany;Okres Zlaté Moravce;Nitriansky
Čierne nad Topľou;Okres Vranov nad Topľou;Prešovský
Čierne Pole;Okres Michalovce;Košický
Čierny Balog;Okres Brezno;Banskobystrický
Čierny Brod;Okres Galanta;Trnavský
Čierny Potok;Okres Rimavská Sobota;Banskobystrický
Čifáre;Okres Nitra;Nitriansky
Čiližská Radvaň;Okres Dunajská Streda;Trnavský
Čimhová;Okres Tvrdošín;Žilinský
Čirč;Okres Stará Ľubovňa;Prešovský
Číž;Okres Rimavská Sobota;Banskobystrický
Čižatice;Okres Košice - okolie;Košický
Čoltovo;Okres Rožňava;Košický
Čremošné;Okres Turčianske Teplice;Žilinský
Čučma;Okres Rožňava;Košický
Čukalovce;Okres Snina;Prešovský
Ďačov;Okres Sabinov;Prešovský
Dačov Lom;Okres Veľký Krtíš;Banskobystrický
Daletice;Okres Sabinov;Prešovský
Danišovce;Okres Spišská Nová Ves;Košický
Ďanová;Okres Martin;Žilinský
Ďapalovce;Okres Vranov nad Topľou;Prešovský
Dargov;Okres Trebišov;Košický
Davidov;Okres Vranov nad Topľou;Prešovský
Debraď;Okres Košice - okolie;Košický
Dedačov;Okres Humenné;Prešovský
Dedina Mládeže;Okres Komárno;Nitriansky
Dedinka;Okres Nové Zámky;Nitriansky
Dedinky;Okres Rožňava;Košický
Dechtice;Okres Trnava;Trnavský
Dekýš;Okres Banská Štiavnica;Banskobystrický
Demandice;Okres Levice;Nitriansky
Demänovská Dolina;Okres Liptovský Mikuláš;Žilinský
Demjata;Okres Prešov;Prešovský
Detrík;Okres Vranov nad Topľou;Prešovský
Detva;Okres Detva;Banskobystrický
Detvianska Huta;Okres Detva;Banskobystrický
Devičany;Okres Levice;Nitriansky
Devičie;Okres Krupina;Banskobystrický
Dežerice;Okres Bánovce nad Bebravou;Trenčiansky
Diaková;Okres Martin;Žilinský
Diakovce;Okres Šaľa;Nitriansky
Diviacka Nová Ves;Okres Prievidza;Trenčiansky
Diviaky nad Nitricou;Okres Prievidza;Trenčiansky
Divín;Okres Lučenec;Banskobystrický
Divina;Okres Žilina;Žilinský
Divinka;Okres Žilina;Žilinský
Dlhá;Okres Trnava;Trnavský
Dlhá nad Kysucou;Okres Čadca;Žilinský
Dlhá nad Oravou;Okres Dolný Kubín;Žilinský
Dlhá nad Váhom;Okres Šaľa;Nitriansky
Dlhá Ves;Okres Rožňava;Košický
Dlhé Klčovo;Okres Vranov nad Topľou;Prešovský
Dlhé nad Cirochou;Okres Snina;Prešovský
Dlhé Pole;Okres Žilina;Žilinský
Dlhé Stráže;Okres Levoča;Prešovský
Dlhoňa;Okres Svidník;Prešovský
Dlžín;Okres Prievidza;Trenčiansky
Dobrá;Okres Trebišov;Košický
Dobrá Niva;Okres Zvolen;Banskobystrický
Dobrá Voda;Okres Trnava;Trnavský
Dobroč;Okres Lučenec;Banskobystrický
Dobrohošť;Okres Dunajská Streda;Trnavský
Dobroslava;Okres Svidník;Prešovský
Dobšiná;Okres Rožňava;Košický
Dohňany;Okres Púchov;Trenčiansky
Dojč;Okres Senica;Trnavský
Doľany, okres Levoča;Okres Levoča;Prešovský
Doľany, okres Pezinok;Okres Pezinok;Bratislavský
Dolinka;Okres Veľký Krtíš;Banskobystrický
Dolná Breznica;Okres Púchov;Trenčiansky
Dolná Krupá;Okres Trnava;Trnavský
Dolná Lehota;Okres Brezno;Banskobystrický
Dolná Mariková;Okres Považská Bystrica;Trenčiansky
Dolná Mičiná;Okres Banská Bystrica;Banskobystrický
Dolná Poruba;Okres Trenčín;Trenčiansky
Dolná Seč;Okres Levice;Nitriansky
Dolná Streda;Okres Galanta;Trnavský
Dolná Strehová;Okres Veľký Krtíš;Banskobystrický
Dolná Súča;Okres Trenčín;Trenčiansky
Dolná Tižina;Okres Žilina;Žilinský
Dolná Trnávka;Okres Žiar nad Hronom;Banskobystrický
Dolná Ves;Okres Žiar nad Hronom;Banskobystrický
Dolná Ždaňa;Okres Žiar nad Hronom;Banskobystrický
Dolné Dubové;Okres Trnava;Trnavský
Dolné Kočkovce;Okres Púchov;Trenčiansky
Dolné Lefantovce;Okres Nitra;Nitriansky
Dolné Lovčice;Okres Trnava;Trnavský
Dolné Mladonice;Okres Krupina;Banskobystrický
Dolné Naštice;Okres Bánovce nad Bebravou;Trenčiansky
Dolné Obdokovce;Okres Nitra;Nitriansky
Dolné Orešany;Okres Trnava;Trnavský
Dolné Otrokovce;Okres Hlohovec;Trnavský
Dolné Plachtince;Okres Veľký Krtíš;Banskobystrický
Dolné Saliby;Okres Galanta;Trnavský
Dolné Semerovce;Okres Levice;Nitriansky
Dolné Srnie;Okres Nové Mesto nad Váhom;Trenčiansky
Dolné Strháre;Okres Veľký Krtíš;Banskobystrický
Dolné Trhovište;Okres Hlohovec;Trnavský
Dolné Vestenice;Okres Prievidza;Trenčiansky
Dolné Zahorany;Okres Rimavská Sobota;Banskobystrický
Dolné Zelenice;Okres Hlohovec;Trnavský
Dolný Badín;Okres Krupina;Banskobystrický
Dolný Bar;Okres Dunajská Streda;Trnavský
Dolný Harmanec;Okres Banská Bystrica;Banskobystrický
Dolný Hričov;Okres Žilina;Žilinský
Dolný Chotár;Okres Galanta;Trnavský
Dolný Kalník;Okres Martin;Žilinský
Dolný Kubín;Okres Dolný Kubín;Žilinský
Dolný Lieskov;Okres Považská Bystrica;Trenčiansky
Dolný Lopašov;Okres Piešťany;Trnavský
Dolný Ohaj;Okres Nové Zámky;Nitriansky
Dolný Pial;Okres Levice;Nitriansky
Dolný Štál;Okres Dunajská Streda;Trnavský
Dolný Vadičov;Okres Kysucké Nové Mesto;Žilinský
Domadice;Okres Levice;Nitriansky
Domaníky;Okres Krupina;Banskobystrický
Domaniža;Okres Považská Bystrica;Trenčiansky
Domaňovce;Okres Levoča;Prešovský
Donovaly;Okres Banská Bystrica;Banskobystrický
Drábsko;Okres Brezno;Banskobystrický
Drahňov;Okres Michalovce;Košický
Drahovce;Okres Piešťany;Trnavský
Dravce;Okres Levoča;Prešovský
Dražice;Okres Rimavská Sobota;Banskobystrický
Dražkovce;Okres Martin;Žilinský
Drážovce;Okres Krupina;Banskobystrický
Drienčany;Okres Rimavská Sobota;Banskobystrický
Drienica;Okres Sabinov;Prešovský
Drienov;Okres Prešov;Prešovský
Drienovec;Okres Košice - okolie;Košický
Drienovo;Okres Krupina;Banskobystrický
Drienovská Nová Ves;Okres Prešov;Prešovský
Drietoma;Okres Trenčín;Trenčiansky
Drňa;Okres Rimavská Sobota;Banskobystrický
Drnava;Okres Rožňava;Košický
Družstevná pri Hornáde;Okres Košice - okolie;Košický
Drženice;Okres Levice;Nitriansky
Držkovce;Okres Revúca;Banskobystrický
Ďubákovo;Okres Poltár;Banskobystrický
Dubinné;Okres Bardejov;Prešovský
Dubnica nad Váhom;Okres Ilava;Trenčiansky
Dubnička;Okres Bánovce nad Bebravou;Trenčiansky
Dubník;Okres Nové Zámky;Nitriansky
Dubno;Okres Rimavská Sobota;Banskobystrický
Dubodiel;Okres Trenčín;Trenčiansky
Dubová, okres Pezinok;Okres Pezinok;Bratislavský
Dubová, okres Svidník;Okres Svidník;Prešovský
Dubovany;Okres Piešťany;Trnavský
Dubovce;Okres Skalica;Trnavský
Dubové, okres Turčianske Teplice;Okres Turčianske Teplice;Žilinský
Dubové, okres Zvolen;Okres Zvolen;Banskobystrický
Dubovec;Okres Rimavská Sobota;Banskobystrický
Dubovica;Okres Sabinov;Prešovský
Dúbrava, okres Levoča;Okres Levoča;Prešovský
Dúbrava, okres Liptovský Mikuláš;Okres Liptovský Mikuláš;Žilinský
Dúbrava, okres Snina;Okres Snina;Prešovský
Dúbravica;Okres Banská Bystrica;Banskobystrický
Dúbravka;Okres Michalovce;Košický
Dúbravy;Okres Detva;Banskobystrický
Ducové;Okres Piešťany;Trnavský
Dudince;Okres Krupina;Banskobystrický
Dukovce;Okres Svidník;Prešovský
Dulov;Okres Ilava;Trenčiansky
Dulova Ves;Okres Prešov;Prešovský
Dulovce;Okres Komárno;Nitriansky
Dulovo;Okres Rimavská Sobota;Banskobystrický
Dunajov;Okres Čadca;Žilinský
Dunajská Lužná;Okres Senec;Bratislavský
Dunajská Streda;Okres Dunajská Streda;Trnavský
Dunajský Klátov;Okres Dunajská Streda;Trnavský
Duplín;Okres Stropkov;Prešovský
Ďurčiná;Okres Žilina;Žilinský
Ďurďoš;Okres Vranov nad Topľou;Prešovský
Ďurďošík;Okres Košice - okolie;Košický
Ďurďové;Okres Považská Bystrica;Trenčiansky
Ďurkov;Okres Košice - okolie;Košický
Ďurková;Okres Stará Ľubovňa;Prešovský
Ďurkovce;Okres Veľký Krtíš;Banskobystrický
Dvorany nad Nitrou;Okres Topoľčany;Nitriansky
Dvorec;Okres Bánovce nad Bebravou;Trenčiansky
Dvorianky;Okres Trebišov;Košický
Dvorníky;Okres Hlohovec;Trnavský
Dvorníky-Včeláre;Okres Košice - okolie;Košický
Dvory nad Žitavou;Okres Nové Zámky;Nitriansky
Egreš;Okres Trebišov;Košický
Fačkov;Okres Žilina;Žilinský
Falkušovce;Okres Michalovce;Košický
Farná;Okres Levice;Nitriansky
Fekišovce;Okres Sobrance;Košický
Figa;Okres Rimavská Sobota;Banskobystrický
Fijaš;Okres Svidník;Prešovský
Fiľakovo;Okres Lučenec;Banskobystrický
Fiľakovské Kováče;Okres Lučenec;Banskobystrický
Fintice;Okres Prešov;Prešovský
Folkušová;Okres Martin;Žilinský
Forbasy;Okres Stará Ľubovňa;Prešovský
Frička;Okres Bardejov;Prešovský
Fričkovce;Okres Bardejov;Prešovský
Fričovce;Okres Prešov;Prešovský
Fulianka;Okres Prešov;Prešovský
Gabčíkovo;Okres Dunajská Streda;Trnavský
Gaboltov;Okres Bardejov;Prešovský
Gajary;Okres Malacky;Bratislavský
Galanta;Okres Galanta;Trnavský
Galovany;Okres Liptovský Mikuláš;Žilinský
Gáň;Okres Galanta;Trnavský
Gánovce;Okres Poprad;Prešovský
Gbeľany;Okres Žilina;Žilinský
Gbelce;Okres Nové Zámky;Nitriansky
Gbely;Okres Skalica;Trnavský
Geča;Okres Košice - okolie;Košický
Gelnica;Okres Gelnica;Košický
Gemer;Okres Revúca;Banskobystrický
Gemerček;Okres Rimavská Sobota;Banskobystrický
Gemerská Hôrka;Okres Rožňava;Košický
Gemerská Panica;Okres Rožňava;Košický
Gemerská Poloma;Okres Rožňava;Košický
Gemerská Ves;Okres Revúca;Banskobystrický
Gemerské Dechtáre;Okres Rimavská Sobota;Banskobystrický
Gemerské Michalovce;Okres Rimavská Sobota;Banskobystrický
Gemerské Teplice;Okres Revúca;Banskobystrický
Gemerský Jablonec;Okres Rimavská Sobota;Banskobystrický
Gemerský Sad;Okres Revúca;Banskobystrický
Geraltov;Okres Prešov;Prešovský
Gerlachov, okres Bardejov;Okres Bardejov;Prešovský
Gerlachov, okres Poprad;Okres Poprad;Prešovský
Giglovce;Okres Vranov nad Topľou;Prešovský
Giraltovce;Okres Svidník;Prešovský
Girovce;Okres Vranov nad Topľou;Prešovský
Glabušovce;Okres Veľký Krtíš;Banskobystrický
Gočaltovo;Okres Rožňava;Košický
Gočovo;Okres Rožňava;Košický
Golianovo;Okres Nitra;Nitriansky
Gortva;Okres Rimavská Sobota;Banskobystrický
